Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Cobalt Robotics,Security,Office,https://angel.co/cobalt-robotics,https://www.crunchbase.com/organization/cobalt-robotics-inc,http://cobaltrobotics.com/,,Palo Alto,CA,,2,2016,9,3,#N/A,157,238,,,"$5,922,222 ",,"$53,300,000 ",,119.08%,29.88%,,,,,,, 1 Mar 2017,"$3,500,000 ",,,30-Mar-18,"$13,000,000 "," Jun 25, 2019","$36,800,000 ",,,,,,,,,,,,,,,,,,,
Valon,,Multifamily,https://angel.co/company/valon-2,https://www.crunchbase.com/organization/peach-street,https://www.valon.com/,,New York,NY,,3,2019,6,2,#N/A,117,239,,,"$8,866,667 ",,"$53,200,000 ",,295.28%,58.11%,,,,,,,1-Jan-20,"$3,200,000 ",,,2-Feb-21,"$50,000,000 ",,,,,,,,,,,,,,,,,,,,,
Landed,,Residential,https://angel.co/company/landed,https://www.crunchbase.com/organization/landed,https://www.landed.com/,,San Francisco,CA,,3,2015,10,4,#N/A,173,240,,,"$5,312,000 ",,"$53,120,000 ",,300.91%,74.27%,,,,,22-Mar-16,"$120,000 ",20-Dec-16,"$4,000,000 ",,,24-Jun-20,"$18,000,000 ",15-Sep-21,"$31,000,000 ",,,,,,,,,,,,,,,,,,,
Stavvy,,Residential,https://wellfound.com/company/stavvy,https://www.crunchbase.com/organization/stavvy,https://www.stavvy.com/,56 Wareham St.,Boston,MA,2118,2,2018,7,3,#N/A,132,241,,,"$7,571,429 ",,"$53,000,000 ",,160.45%,50.72%,,,,,,,29-Mar-19,"$1,500,000 ",,,24-Mar-21,"$26,500,000 ",,,,,,,,,,,,,,,,,15-Dec-22,"$25,000,000 ",,,
Centro,,All,https://angel.co/company/centro,https://www.crunchbase.com/organization/centro,https://www.centro.net/,,Chicago,IL,,,2001,24,2,#N/A,213,242,,,"$2,187,500 ",,"$52,500,000 ",,15.47%,1.21%,,,,,,,,,,,30-Dec-10,"$22,500,000 ",20-May-15,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Avataar.me,,ALL,https://angel.co/company/avataar-me-1,https://www.crunchbase.com/organization/avataar-me/company_financials,https://www.avataar.me/,,Bangalore,India,,4,2016,,,#N/A,#N/A,243,,,,,"$52,000,000 ",,,,,,,,,,,,,,15-Oct-20,"$7,000,000 ",7-Jan-22,"$45,000,000 ",,,,,,,,,,,,,,,,,,,
Aeroseal,,ALL,https://angel.co/company/aeroseal-2,https://www.crunchbase.com/organization/aeroseal,http://www.aeroseal.com/,"225 Byers Road
Suite 1",Miamisburg,Ohio,45342,,,,,#N/A,,,,,,,"$52,000,000 ","$1,200,000 ",,,,,,,,,,,,,22-Jun-21,"$22,000,000 ",23-Feb-23,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
RealPage,Property Management,All,https://angel.co/realpage,https://www.crunchbase.com/organization/realpage,www.realpage.com,2201 Lakeside Blvd.,Richardson,Texas ,75082,N/A,1998,27,3,#N/A,217,245,,,"$1,914,815 ",,"$51,700,000 ",,69.40%,6.03%,,,,,,,,,,,30-Dec-03,"$31,600,000 ",14-Dec-05,"$6,500,000 ",22-Feb-08,"$13,600,000 ",,,,,,,,,,,,,,,,,
Selina,,Residential,,https://www.crunchbase.com/organization/selina-finance-limited,https://www.selinaadvance.com/,,London,UK,,3,2019,,,#N/A,#N/A,246,,,,,"$51,240,000 ",,,,,,,,,,,,,,22-Jul-20,"$16,240,000 ",8-Feb-22,"$35,000,000 ",,,,,,,,,,,,,,,,,,,
Capacity,,ALL,,https://www.crunchbase.com/organization/capacityai,https://capacity.com/,,Saint Louis,MO,,2,2017,,,#N/A,#N/A,247,,,,,"$50,500,000 ",,,,,,,,,,2-Jan-17,"$1,600,000 ",,,12-Jun-18,"$8,400,000.00 ",5-Oct-19,"$13,500,000 ",19-Jan-22,"$27,000,000 ",,,,,,,,,,,,,,,,,
Starcity,,Residential,https://angel.co/company/starcity,https://www.crunchbase.com/organization/starcity,"www.starcity.com/
",1020 Kearny St.,San Francisco,CA,,4,2016,9,3,#N/A,166,248,,,"$5,588,889 ",,"$50,300,000 ",,99.12%,25.81%,,,,,,,31-Dec-16,"$3,800,000 ",,,6-Mar-18,"$16,500,000 ",27-Apr-20,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Kitchen United,Ghost Kitchens,"Industrial, Retail",https://angel.co/company/kitchen-united,https://www.crunchbase.com/organization/kitchen-united,https://www.kitchenunited.com,55 S Madison Ave,Pasadena,CA ,91101,3,2015,10,2,#N/A,176,249,,,"$5,000,000 ",,"$50,000,000 ",,100.00%,14.87%,,,,,,,,,,," Oct 8, 2018        
","$10,000,000 ", 9/19/2019,"$40,000,000 ",,,,,,,,,,,,,,,,,,,
Mint House,,Hospitality,https://angel.co/company/mint-house,https://www.crunchbase.com/organization/mint-house,https://www.minthouse.com/,,NY,NY,,,2017,8,2,#N/A,150,249,,,"$6,250,000 ",,"$50,000,000 ",,52.75%,11.17%,,,,,,,,,,,9-May-19,"$15,000,000.00 ",4-May-22,"$35,000,000.00 ",,,,,,,,,,,,,,,,,,,
PassiveLogic,Facility Management,All,https://angel.co/passivelogic,https://www.crunchbase.com/organization/passivelogic,www.passivelogic.com,"2040 E Murray Holladay Road, Suite 112",Holladay,UT ,84117-5185,3,2016,9,2,#N/A,167,249,,,"$5,555,556 ",,"$50,000,000 ",,45.77%,8.74%,,,,,,,,,,,13-Oct-20,"$16,000,000 ",11-Jan-22,"$34,000,000 ",,,,,,,,,,,,,,,,,,,
Rentivity,Property Management,"Multifamily, Residential",,https://www.crunchbase.com/organization/rentivity,http://rentivity.com,3218 East Colonial Drive,Orlando,FL,32803,1,2016,9,1,#N/A,167,249,,,"$5,555,556 ",,"$50,000,000 ",,0.00%,0.00%,,,,,,,17-Jul-19,"$50,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Homz,,Construction,,https://www.crunchbase.com/organization/homz-global,https://www.homzglobal.com/,,Frisco,TX,,,2019,,,#N/A,,,,,,,"$50,000,000 ",,,,,,,,1-Mar-23,"$50,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
BuildOps,,Construction,,https://www.crunchbase.com/organization/buildops,https://buildops.com/,,Santa Monica,CA,,3,2018,,,#N/A,#N/A,254,,,,,"$48,800,000 ",,,,,,,,,,1-Nov-19,"$5,800,000 ",,,24-May-22,"$43,000,000 ",,,,,,,,,,,,,,,,,,,,,
